Age,Gender,Avg_Daily_Screen_Time_hr,Primary_Device,Exceeded_Recommended_Limit,Educational_to_Recreational_Ratio,Health_Impacts,Urban_or_Rural,Education_ScreenTime,Recreational_ScreenTime,device_usage_share,has_health_issue,screen_time_zscore
14,Male,3.61,Smartphone,TRUE,0.47,Poor Sleep,Urban,1.6967,1.9133,47.03459638,1,-0.874641082
14,Male,6.29,Smartphone,TRUE,0.43,Poor Sleep,Urban,2.7047,3.5853,14.75494234,1,-0.036570545
14,Male,3.58,Smartphone,TRUE,0.37,Poor Sleep,Urban,1.3246,2.2554,25.60749588,1,0.976098021
14,Male,5.47,Smartphone,TRUE,0.37,Poor Sleep,Urban,2.0239,3.4461,47.03459638,1,-1.916409319
14,Male,5.93,Smartphone,TRUE,0.38,Poor Sleep,Urban,2.2534,3.6766,47.03459638,1,-0.88628095
14,Male,6.72,Smartphone,TRUE,0.47,Poor Sleep,Urban,3.1584,3.5616,47.03459638,1,-0.251908113
14,Male,4.7,Smartphone,TRUE,0.38,Poor Sleep,Urban,1.786,2.914,47.03459638,1,0.114747747
14,Male,5.58,Smartphone,TRUE,0.4,Poor Sleep,Urban,2.232,3.348,47.03459638,1,1.459152567
14,Male,4.04,Smartphone,TRUE,0.37,Poor Sleep,Urban,1.4948,2.5452,25.60749588,1,-0.513805156
14,Male,6.83,Smartphone,TRUE,0.3,Poor Sleep,Urban,2.049,4.781,12.6029654,1,0.149667353
14,Male,4.33,Smartphone,TRUE,0.46,Poor Sleep,Urban,1.9918,2.3382,47.03459638,1,-2.533322353
14,Male,3.04,Smartphone,TRUE,0.47,Poor Sleep,Urban,1.4288,1.6112,47.03459638,1,-0.513805156
14,Male,4.23,Smartphone,TRUE,0.35,Poor Sleep,Urban,1.4805,2.7495,25.60749588,1,-0.024930676
14,Male,4.48,Smartphone,TRUE,0.35,Poor Sleep,Urban,1.568,2.912,47.03459638,1,-1.194737468
14,Male,4.47,Smartphone,TRUE,0.36,Poor Sleep,Urban,1.6092,2.8608,14.75494234,1,0.085648075
14,Male,6.65,Smartphone,TRUE,0.44,Poor Sleep,Urban,2.926,3.724,14.75494234,1,-0.991039768
14,Male,3.44,Smartphone,TRUE,0.41,Poor Sleep,Urban,1.4104,2.0296,14.75494234,1,0.574522555
14,Male,4.83,Smartphone,TRUE,0.45,Poor Sleep,Urban,2.1735,2.6565,25.60749588,1,-0.281007785
14,Male,6.31,Smartphone,TRUE,0.41,Poor Sleep,Urban,2.5871,3.7229,12.6029654,1,0.766580387
14,Male,5.8,Smartphone,TRUE,0.33,Poor Sleep,Urban,1.914,3.886,25.60749588,1,-0.321747325
14,Male,6.51,Smartphone,TRUE,0.33,Poor Sleep,Urban,2.1483,4.3617,25.60749588,1,0.149667353
14,Male,5.1,Smartphone,TRUE,0.37,Poor Sleep,Urban,1.887,3.213,12.6029654,1,-2.009528268
14,Male,6.31,Smartphone,TRUE,0.45,Poor Sleep,Urban,2.8395,3.4705,25.60749588,1,-0.612744039
14,Male,4.78,Smartphone,TRUE,0.38,Poor Sleep,Urban,1.8164,2.9636,25.60749588,1,0.446484001
14,Male,5.62,Smartphone,TRUE,0.34,Poor Sleep,Urban,1.9108,3.7092,25.60749588,1,0.853879401
14,Male,3.57,Smartphone,TRUE,0.33,Poor Sleep,Urban,1.1781,2.3919,47.03459638,1,-0.048210413
14,Male,3.21,Smartphone,TRUE,0.32,Poor Sleep,Urban,1.0272,2.1828,47.03459638,1,0.836419598
14,Male,4.9,Smartphone,TRUE,0.43,Poor Sleep,Urban,2.107,2.793,25.60749588,1,-0.96776003
14,Male,5.44,Smartphone,TRUE,0.35,Poor Sleep,Urban,1.904,3.536,47.03459638,1,-0.414866273
14,Male,5.28,Smartphone,TRUE,0.38,Poor Sleep,Urban,2.0064,3.2736,25.60749588,1,-0.07149015
14,Male,4.84,Smartphone,TRUE,0.46,Poor Sleep,Urban,2.2264,2.6136,14.75494234,1,1.045937233
14,Male,3.57,Smartphone,TRUE,0.36,Poor Sleep,Urban,1.2852,2.2848,12.6029654,1,0.795680058
14,Male,7.37,Smartphone,TRUE,0.39,Poor Sleep,Urban,2.8743,4.4957,14.75494234,1,-0.548724762
14,Male,5.85,Smartphone,TRUE,0.36,Poor Sleep,Urban,2.106,3.744,14.75494234,1,0.056548404
14,Male,6.75,Smartphone,TRUE,0.37,Poor Sleep,Urban,2.4975,4.2525,47.03459638,1,-0.84554141
14,Male,3.76,Smartphone,TRUE,0.37,Poor Sleep,Urban,1.3912,2.3688,47.03459638,1,1.854908098
14,Male,5.4,Smartphone,TRUE,0.49,Poor Sleep,Urban,2.646,2.754,12.6029654,1,-0.007470873
14,Male,5.6,Smartphone,TRUE,0.45,Poor Sleep,Urban,2.52,3.08,47.03459638,1,0.626901964
14,Male,4.9,Smartphone,TRUE,0.47,Poor Sleep,Urban,2.303,2.597,12.6029654,1,0.248606235
14,Male,4.9,Smartphone,TRUE,0.41,Poor Sleep,Urban,2.009,2.891,12.6029654,1,-0.414866273
14,Male,3.75,Smartphone,TRUE,0.31,Poor Sleep,Urban,1.1625,2.5875,47.03459638,1,-1.561393328
14,Male,6.94,Smartphone,TRUE,0.33,Poor Sleep,Urban,2.2902,4.6498,12.6029654,1,0.353365053
14,Male,6.66,Smartphone,TRUE,0.37,Poor Sleep,Urban,2.4642,4.1958,47.03459638,1,0.90625881
14,Male,5.05,Smartphone,TRUE,0.41,Poor Sleep,Urban,2.0705,2.9795,12.6029654,1,1.133236247
14,Male,4.86,Smartphone,TRUE,0.48,Poor Sleep,Urban,2.3328,2.5272,12.6029654,1,-2.533322353
14,Male,3.82,Smartphone,TRUE,0.4,Poor Sleep,Urban,1.528,2.292,25.60749588,1,-0.56036463
14,Male,4.35,Smartphone,TRUE,0.33,Poor Sleep,Urban,1.4355,2.9145,47.03459638,1,-0.455605813
14,Male,4.51,Smartphone,TRUE,0.35,Poor Sleep,Urban,1.5785,2.9315,47.03459638,1,-1.74181129
14,Male,4.41,Smartphone,TRUE,0.49,Poor Sleep,Urban,2.1609,2.2491,47.03459638,1,-2.533322353
14,Male,4.97,Smartphone,TRUE,0.42,Poor Sleep,Urban,2.0874,2.8826,25.60749588,1,-0.932840425
14,Male,4.96,Smartphone,TRUE,0.49,Poor Sleep,Urban,2.4304,2.5296,47.03459638,1,1.19143559
14,Male,3.65,Smartphone,TRUE,0.42,Poor Sleep,Urban,1.533,2.117,14.75494234,1,-0.339207128
14,Male,5.88,Smartphone,TRUE,0.37,Poor Sleep,Urban,2.1756,3.7044,47.03459638,1,0.219506564
14,Male,3.8,Smartphone,TRUE,0.49,Poor Sleep,Urban,1.862,1.938,12.6029654,1,0.818959795
14,Male,3.85,Smartphone,TRUE,0.38,Poor Sleep,Urban,1.463,2.387,47.03459638,1,-0.915380622
12,Male,4.59,Smartphone,TRUE,0.43,Poor Sleep,Urban,1.9737,2.6163,47.03459638,1,-0.246088179
12,Male,4.56,Smartphone,TRUE,0.5,Poor Sleep,Urban,2.28,2.28,25.60749588,1,0.149667353
12,Male,5.69,Smartphone,TRUE,0.43,Poor Sleep,Urban,2.4467,3.2433,25.60749588,1,0.766580387
12,Male,3.13,Smartphone,TRUE,0.33,Poor Sleep,Urban,1.0329,2.0971,14.75494234,1,0.09146801
12,Male,4.95,Smartphone,TRUE,0.46,Poor Sleep,Urban,2.277,2.673,47.03459638,1,-2.271425311
12,Male,3.76,Smartphone,TRUE,0.38,Poor Sleep,Urban,1.4288,2.3312,47.03459638,1,-1.066698913
12,Male,6.42,Smartphone,TRUE,0.47,Poor Sleep,Urban,3.0174,3.4026,47.03459638,1,0.981917955
12,Male,4.84,Smartphone,TRUE,0.41,Poor Sleep,Urban,1.9844,2.8556,47.03459638,1,1.016837561
12,Male,3.99,Smartphone,TRUE,0.36,Poor Sleep,Urban,1.4364,2.5536,47.03459638,1,0.731660781
12,Male,4.74,Smartphone,TRUE,0.41,Poor Sleep,Urban,1.9434,2.7966,47.03459638,1,-1.17145773
12,Male,5.53,Smartphone,TRUE,0.47,Poor Sleep,Urban,2.5991,2.9309,25.60749588,1,1.459152567
12,Male,4.3,Smartphone,TRUE,0.42,Poor Sleep,Urban,1.806,2.494,14.75494234,1,-0.333387193
12,Male,4.02,Smartphone,TRUE,0.33,Poor Sleep,Urban,1.3266,2.6934,47.03459638,1,0.184586958
12,Male,5.06,Smartphone,TRUE,0.32,Poor Sleep,Urban,1.6192,3.4408,12.6029654,1,-0.64184371
12,Male,5.15,Smartphone,TRUE,0.42,Poor Sleep,Urban,2.163,2.987,47.03459638,1,0.365004921
12,Male,3.98,Smartphone,TRUE,0.32,Poor Sleep,Urban,1.2736,2.7064,47.03459638,1,0.504683344
12,Male,5.48,Smartphone,TRUE,0.35,Poor Sleep,Urban,1.918,3.562,25.60749588,1,0.388284658
12,Male,5.99,Smartphone,TRUE,0.47,Poor Sleep,Urban,2.8153,3.1747,47.03459638,1,0.993557824
12,Male,6.28,Smartphone,TRUE,0.48,Poor Sleep,Urban,3.0144,3.2656,47.03459638,1,-1.450814576
12,Male,6.18,Smartphone,TRUE,0.46,Poor Sleep,Urban,2.8428,3.3372,47.03459638,1,1.237995064
12,Male,6.49,Smartphone,TRUE,0.46,Poor Sleep,Urban,2.9854,3.5046,14.75494234,1,0.00998893
12,Male,4.89,Smartphone,TRUE,0.33,Poor Sleep,Urban,1.6137,3.2763,14.75494234,1,-0.11222969
12,Male,3.6,Smartphone,TRUE,0.31,Poor Sleep,Urban,1.116,2.484,14.75494234,1,-0.257728048
12,Male,5.09,Smartphone,TRUE,0.46,Poor Sleep,Urban,2.3414,2.7486,14.75494234,1,0.108927812
12,Male,6.38,Smartphone,TRUE,0.42,Poor Sleep,Urban,2.6796,3.7004,47.03459638,1,0.138027484
12,Male,3.44,Smartphone,TRUE,0.46,Poor Sleep,Urban,1.5824,1.8576,47.03459638,1,-1.124898256
12,Male,5.39,Smartphone,TRUE,0.46,Poor Sleep,Urban,2.4794,2.9106,47.03459638,1,1.412593093
12,Male,4.8,Smartphone,TRUE,0.49,Poor Sleep,Urban,2.352,2.448,25.60749588,1,-0.094769888
12,Male,3.88,Smartphone,TRUE,0.37,Poor Sleep,Urban,1.4356,2.4444,25.60749588,1,-0.630203842
12,Male,4.52,Smartphone,TRUE,0.31,Poor Sleep,Urban,1.4012,3.1188,12.6029654,1,0.964458153
12,Male,5.25,Smartphone,TRUE,0.36,Poor Sleep,Urban,1.89,3.36,47.03459638,1,0.225326498
12,Male,4.46,Smartphone,TRUE,0.41,Poor Sleep,Urban,1.8286,2.6314,47.03459638,1,-0.542904828
12,Male,4.45,Smartphone,TRUE,0.45,Poor Sleep,Urban,2.0025,2.4475,47.03459638,1,0.650181701
12,Male,3.64,Smartphone,TRUE,0.44,Poor Sleep,Urban,1.6016,2.0384,47.03459638,1,1.121596378
12,Male,3.69,Smartphone,TRUE,0.37,Poor Sleep,Urban,1.3653,2.3247,47.03459638,1,-0.636023776
12,Male,4.59,Smartphone,TRUE,0.31,Poor Sleep,Urban,1.4229,3.1671,47.03459638,1,0.993557824
12,Male,4.7,Smartphone,TRUE,0.35,Poor Sleep,Urban,1.645,3.055,25.60749588,1,0.184586958
12,Male,4.85,Smartphone,TRUE,0.35,Poor Sleep,Urban,1.6975,3.1525,47.03459638,1,-0.350846996
12,Male,4.78,Smartphone,TRUE,0.35,Poor Sleep,Urban,1.673,3.107,47.03459638,1,1.366033618
12,Male,4.91,Smartphone,TRUE,0.43,Poor Sleep,Urban,2.1113,2.7987,47.03459638,1,-0.449785879
12,Male,5.46,Smartphone,TRUE,0.32,Poor Sleep,Urban,1.7472,3.7128,25.60749588,1,-1.072518848
12,Male,5.33,Smartphone,TRUE,0.44,Poor Sleep,Urban,2.3452,2.9848,47.03459638,1,0.516323213
12,Male,3.28,Smartphone,TRUE,0.46,Poor Sleep,Urban,1.5088,1.7712,12.6029654,1,-2.533322353
12,Male,4.84,Smartphone,TRUE,0.37,Poor Sleep,Urban,1.7908,3.0492,47.03459638,1,0.45812387
12,Male,5.34,Smartphone,TRUE,0.44,Poor Sleep,Urban,2.3496,2.9904,12.6029654,1,-0.379946668
12,Male,5.66,Smartphone,TRUE,0.38,Poor Sleep,Urban,2.1508,3.5092,25.60749588,1,0.25442617
12,Male,5.46,Smartphone,TRUE,0.44,Poor Sleep,Urban,2.4024,3.0576,12.6029654,1,-0.612744039
12,Male,3.72,Smartphone,TRUE,0.49,Poor Sleep,Urban,1.8228,1.8972,47.03459638,1,0.941178415
12,Male,4.64,Smartphone,TRUE,0.33,Poor Sleep,Urban,1.5312,3.1088,47.03459638,1,-0.758242396
12,Male,4.42,Smartphone,TRUE,0.47,Poor Sleep,Urban,2.0774,2.3426,47.03459638,1,0.481403607
12,Male,4.75,Smartphone,TRUE,0.39,Poor Sleep,Urban,1.8525,2.8975,14.75494234,1,-0.403226405
12,Male,3.25,Smartphone,TRUE,0.31,Poor Sleep,Urban,1.0075,2.2425,47.03459638,1,-0.158789165
12,Male,4.23,Smartphone,TRUE,0.35,Poor Sleep,Urban,1.4805,2.7495,25.60749588,1,0.033268667
12,Male,5.44,Smartphone,TRUE,0.36,Poor Sleep,Urban,1.9584,3.4816,47.03459638,1,0.283525841
12,Male,4.91,Smartphone,TRUE,0.42,Poor Sleep,Urban,2.0622,2.8478,47.03459638,1,1.43587283
12,Male,4.53,Smartphone,TRUE,0.41,Poor Sleep,Urban,1.8573,2.6727,47.03459638,1,0.143847418
12,Male,5.25,Smartphone,TRUE,0.39,Poor Sleep,Urban,2.0475,3.2025,47.03459638,1,-0.170429033
12,Male,5.6,Smartphone,TRUE,0.38,Poor Sleep,Urban,2.128,3.472,25.60749588,1,1.249634933
12,Male,4.09,Smartphone,TRUE,0.41,Poor Sleep,Urban,1.6769,2.4131,25.60749588,1,-0.083130019
12,Male,5.02,Smartphone,TRUE,0.45,Poor Sleep,Urban,2.259,2.761,14.75494234,1,1.581371187
12,Male,3.73,Smartphone,TRUE,0.36,Poor Sleep,Urban,1.3428,2.3872,47.03459638,1,-1.08997865
12,Male,5.02,Smartphone,TRUE,0.41,Poor Sleep,Urban,2.0582,2.9618,47.03459638,1,-0.170429033
12,Male,4.91,Smartphone,TRUE,0.46,Poor Sleep,Urban,2.2586,2.6514,47.03459638,1,-0.263547982
12,Male,4.83,Smartphone,TRUE,0.32,Poor Sleep,Urban,1.5456,3.2844,25.60749588,1,-1.148177993
12,Male,4.03,Smartphone,TRUE,0.4,Poor Sleep,Urban,1.612,2.418,14.75494234,1,1.302014341
12,Male,3.42,Smartphone,TRUE,0.47,Poor Sleep,Urban,1.6074,1.8126,14.75494234,1,0.725840847
12,Male,6.69,Smartphone,TRUE,0.41,Poor Sleep,Urban,2.7429,3.9471,14.75494234,1,0.562882687
12,Male,4.26,Smartphone,TRUE,0.39,Poor Sleep,Urban,1.6614,2.5986,25.60749588,1,0.271885973
12,Male,4.21,Smartphone,TRUE,0.38,Poor Sleep,Urban,1.5998,2.6102,25.60749588,1,-0.385766602
12,Male,5.11,Smartphone,TRUE,0.44,Poor Sleep,Urban,2.2484,2.8616,25.60749588,1,-0.106409756
12,Male,4.58,Smartphone,TRUE,0.42,Poor Sleep,Urban,1.9236,2.6564,25.60749588,1,-0.15296923
12,Male,4.78,Smartphone,TRUE,0.32,Poor Sleep,Urban,1.5296,3.2504,47.03459638,1,0.859699335
12,Male,5.33,Smartphone,TRUE,0.45,Poor Sleep,Urban,2.3985,2.9315,14.75494234,1,0.225326498
12,Male,4.98,Smartphone,TRUE,0.34,Poor Sleep,Urban,1.6932,3.2868,25.60749588,1,-0.199528705
12,Male,3.5,Smartphone,TRUE,0.39,Poor Sleep,Urban,1.365,2.135,14.75494234,1,-1.025959373
12,Male,6.56,Smartphone,TRUE,0.35,Poor Sleep,Urban,2.296,4.264,47.03459638,1,0.341725184
12,Male,4.19,Smartphone,TRUE,0.48,Poor Sleep,Urban,2.0112,2.1788,25.60749588,1,-0.118049625
12,Male,4.32,Smartphone,TRUE,0.41,Poor Sleep,Urban,1.7712,2.5488,25.60749588,1,-2.358724325
12,Male,4.5,Smartphone,TRUE,0.4,Poor Sleep,Urban,1.8,2.7,12.6029654,1,0.231146433
12,Male,6.53,Smartphone,TRUE,0.43,Poor Sleep,Urban,2.8079,3.7221,14.75494234,1,0.446484001
12,Male,4.61,Smartphone,TRUE,0.49,Poor Sleep,Urban,2.2589,2.3511,47.03459638,1,-0.670943382
12,Male,4.19,Smartphone,TRUE,0.46,Poor Sleep,Urban,1.9274,2.2626,47.03459638,1,0.795680058
12,Male,6.71,Smartphone,TRUE,0.39,Poor Sleep,Urban,2.6169,4.0931,25.60749588,1,1.424232961
12,Male,7.72,Smartphone,TRUE,0.36,Poor Sleep,Urban,2.7792,4.9408,12.6029654,1,0.219506564
12,Male,4.05,Smartphone,TRUE,0.3,Poor Sleep,Urban,1.215,2.835,47.03459638,1,-1.654512276
12,Male,6.42,Smartphone,TRUE,0.4,Poor Sleep,Urban,2.568,3.852,12.6029654,1,1.971306784
12,Male,4.06,Smartphone,TRUE,0.49,Poor Sleep,Urban,1.9894,2.0706,47.03459638,1,0.423204264
12,Male,4.64,Smartphone,TRUE,0.45,Poor Sleep,Urban,2.088,2.552,25.60749588,1,-1.875669779
12,Male,5.9,Smartphone,TRUE,0.37,Poor Sleep,Urban,2.183,3.717,47.03459638,1,0.446484001
12,Male,5.58,Smartphone,TRUE,0.4,Poor Sleep,Urban,2.232,3.348,25.60749588,1,1.156515984
12,Male,4.69,Smartphone,TRUE,0.33,Poor Sleep,Urban,1.5477,3.1423,47.03459638,1,0.405744461
12,Male,4.92,Smartphone,TRUE,0.3,Poor Sleep,Urban,1.476,3.444,47.03459638,1,-2.108467151
12,Male,5.86,Smartphone,TRUE,0.47,Poor Sleep,Urban,2.7542,3.1058,47.03459638,1,0.66182157
12,Male,4.39,Smartphone,TRUE,0.47,Poor Sleep,Urban,2.0633,2.3267,14.75494234,1,0.09146801
12,Male,4.7,Smartphone,TRUE,0.3,Poor Sleep,Urban,1.41,3.29,47.03459638,1,-0.84554141
12,Male,3.25,Smartphone,TRUE,0.43,Poor Sleep,Urban,1.3975,1.8525,12.6029654,1,1.127416313
16,Male,4.22,Smartphone,TRUE,0.5,Poor Sleep,Urban,2.11,2.11,47.03459638,1,-1.311136153
16,Male,5.79,Smartphone,TRUE,0.35,Poor Sleep,Urban,2.0265,3.7635,25.60749588,1,0.103107878
16,Male,4.17,Smartphone,TRUE,0.36,Poor Sleep,Urban,1.5012,2.6688,12.6029654,1,-1.113258388
16,Male,3.96,Smartphone,TRUE,0.37,Poor Sleep,Urban,1.4652,2.4948,47.03459638,1,-1.287856416
16,Male,3.68,Smartphone,TRUE,0.36,Poor Sleep,Urban,1.3248,2.3552,47.03459638,1,-0.950300228
16,Male,4.39,Smartphone,TRUE,0.48,Poor Sleep,Urban,2.1072,2.2828,47.03459638,1,0.079828141
16,Male,4.07,Smartphone,TRUE,0.39,Poor Sleep,Urban,1.5873,2.4827,12.6029654,1,-0.700043053
16,Male,3.08,Smartphone,TRUE,0.4,Poor Sleep,Urban,1.232,1.848,47.03459638,1,-0.35666693
16,Male,3.74,Smartphone,TRUE,0.47,Poor Sleep,Urban,1.7578,1.9822,12.6029654,1,-0.310107456
16,Male,4.98,Smartphone,TRUE,0.35,Poor Sleep,Urban,1.743,3.237,25.60749588,1,1.267094735
16,Male,5.14,Smartphone,TRUE,0.34,Poor Sleep,Urban,1.7476,3.3924,14.75494234,1,0.108927812
16,Male,6.64,Smartphone,TRUE,0.38,Poor Sleep,Urban,2.5232,4.1168,14.75494234,1,-0.281007785
16,Male,5.09,Smartphone,TRUE,0.45,Poor Sleep,Urban,2.2905,2.7995,12.6029654,1,-2.475123011
16,Male,4.55,Smartphone,TRUE,0.36,Poor Sleep,Urban,1.638,2.912,47.03459638,1,0.05072847
16,Male,3.04,Smartphone,TRUE,0.3,Poor Sleep,Urban,0.912,2.128,47.03459638,1,0.231146433
16,Male,4.02,Smartphone,TRUE,0.44,Poor Sleep,Urban,1.7688,2.2512,12.6029654,1,-0.409046339
16,Male,7.77,Smartphone,TRUE,0.41,Poor Sleep,Urban,3.1857,4.5843,14.75494234,1,-0.292647653
16,Male,5.23,Smartphone,TRUE,0.34,Poor Sleep,Urban,1.7782,3.4518,25.60749588,1,-1.183097599
16,Male,4.67,Smartphone,TRUE,0.47,Poor Sleep,Urban,2.1949,2.4751,14.75494234,1,-0.409046339
16,Male,4.05,Smartphone,TRUE,0.39,Poor Sleep,Urban,1.5795,2.4705,25.60749588,1,0.830599664
16,Male,5.26,Smartphone,TRUE,0.45,Poor Sleep,Urban,2.367,2.893,25.60749588,1,-0.810621805
16,Male,5.96,Smartphone,TRUE,0.31,Poor Sleep,Urban,1.8476,4.1124,47.03459638,1,-2.003708333
16,Male,5.05,Smartphone,TRUE,0.42,Poor Sleep,Urban,2.121,2.929,47.03459638,1,-0.106409756
16,Male,6.27,Smartphone,TRUE,0.38,Poor Sleep,Urban,2.3826,3.8874,14.75494234,1,-0.216988508
16,Male,4.14,Smartphone,TRUE,0.44,Poor Sleep,Urban,1.8216,2.3184,47.03459638,1,-0.822261673
16,Male,6.32,Smartphone,TRUE,0.48,Poor Sleep,Urban,3.0336,3.2864,25.60749588,1,1.325294078
16,Male,3.52,Smartphone,TRUE,0.38,Poor Sleep,Urban,1.3376,2.1824,25.60749588,1,-0.84554141
16,Male,5.9,Smartphone,TRUE,0.4,Poor Sleep,Urban,2.36,3.54,47.03459638,1,0.86551927
16,Male,5.49,Smartphone,TRUE,0.32,Poor Sleep,Urban,1.7568,3.7332,47.03459638,1,0.248606235
16,Male,4.51,Smartphone,TRUE,0.36,Poor Sleep,Urban,1.6236,2.8864,47.03459638,1,-0.129689493
