,Age,Gender,Primary_Device,Health_Impacts,Threshold_Limit_hr,Avg_screen_time_per_criterias,Health_impact_count,Avg_Daily_Screen_Time_per_age_only,Educational_to_Recreational_Ratio,Avg_Recreational_Screen_time,Avg_Educational_Screen_time
43,9,Male,Smartphone,Anxiety,2.01,5.49,18,3.91,0.503,2.869,1.439
44,9,Male,Smartphone,Obesity Risk,2.01,5.66,22,3.91,0.503,2.869,1.439
45,9,Male,Laptop,Poor Sleep,2.01,5.66,22,3.91,0.503,2.869,1.439
46,9,Male,Laptop,Eye Strain,2.01,5.66,22,3.91,0.503,2.869,1.439
47,9,Male,Laptop,None,2.01,5.66,22,3.91,0.503,2.869,1.439
48,9,Male,Laptop,Anxiety,2.01,5.66,22,3.91,0.503,2.869,1.439
49,9,Male,Laptop,Obesity Risk,2.01,5.66,22,3.91,0.503,2.869,1.439
50,9,Male,TV,Poor Sleep,1.98,5.88,57,3.91,0.503,2.869,1.439
51,9,Male,TV,Eye Strain,1.98,5.94,25,3.91,0.503,2.869,1.439
52,9,Male,TV,None,1.98,2.28,98,3.91,0.503,2.869,1.439
53,9,Male,TV,Anxiety,1.98,5.79,28,3.91,0.503,2.869,1.439
54,9,Male,TV,Obesity Risk,1.98,5.56,21,3.91,0.503,2.869,1.439
55,9,Male,Tablet,Poor Sleep,1.95,5.99,37,3.91,0.503,2.869,1.439
56,9,Male,Tablet,Eye Strain,1.95,5.93,22,3.91,0.503,2.869,1.439
57,9,Male,Tablet,None,1.95,2.11,54,3.91,0.503,2.869,1.439
58,9,Male,Tablet,Anxiety,1.95,4.7,7,3.91,0.503,2.869,1.439
59,9,Male,Tablet,Obesity Risk,1.95,5.99,12,3.91,0.503,2.869,1.439
60,9,Female,Smartphone,Poor Sleep,1.99,5.23,63,3.91,0.503,2.869,1.439
61,9,Female,Smartphone,Eye Strain,1.99,4.95,27,3.91,0.503,2.869,1.439
62,9,Female,Smartphone,None,1.99,2.17,79,3.91,0.503,2.869,1.439
63,9,Female,Smartphone,Anxiety,1.99,5.3,21,3.91,0.503,2.869,1.439
64,9,Female,Smartphone,Obesity Risk,1.99,5.61,19,3.91,0.503,2.869,1.439
65,9,Female,Laptop,Poor Sleep,1.99,5.61,19,3.91,0.503,2.869,1.439
66,9,Female,Laptop,Eye Strain,1.99,5.61,19,3.91,0.503,2.869,1.439
67,9,Female,Laptop,None,1.99,5.61,19,3.91,0.503,2.869,1.439
68,9,Female,Laptop,Anxiety,1.99,5.61,19,3.91,0.503,2.869,1.439
69,9,Female,Laptop,Obesity Risk,1.99,5.61,19,3.91,0.503,2.869,1.439
70,9,Female,TV,Poor Sleep,2.03,5.69,59,3.91,0.503,2.869,1.439
71,9,Female,TV,Eye Strain,2.03,5.46,28,3.91,0.503,2.869,1.439
72,9,Female,TV,None,2.03,2.59,87,3.91,0.503,2.869,1.439
73,9,Female,TV,Anxiety,2.03,6.24,17,3.91,0.503,2.869,1.439
74,9,Female,TV,Obesity Risk,2.03,6.14,16,3.91,0.503,2.869,1.439
75,9,Female,Tablet,Poor Sleep,2.08,5.31,40,3.91,0.503,2.869,1.439
76,9,Female,Tablet,Eye Strain,2.08,4.93,12,3.91,0.503,2.869,1.439
77,9,Female,Tablet,None,2.08,2.69,41,3.91,0.503,2.869,1.439
78,9,Female,Tablet,Anxiety,2.08,4.37,6,3.91,0.503,2.869,1.439
79,9,Female,Tablet,Obesity Risk,2.08,5.58,8,3.91,0.503,2.869,1.439
80,10,Male,Smartphone,Poor Sleep,2.04,5.39,65,3.86,0.502,2.815,1.408
81,10,Male,Smartphone,Eye Strain,2.04,5.26,23,3.86,0.502,2.815,1.408
82,10,Male,Smartphone,None,2.04,2.93,81,3.86,0.502,2.815,1.408
83,10,Male,Smartphone,Anxiety,2.04,5.05,16,3.86,0.502,2.815,1.408
84,10,Male,Smartphone,Obesity Risk,2.04,5.16,16,3.86,0.502,2.815,1.408
85,10,Male,Laptop,Poor Sleep,2.04,5.16,16,3.86,0.502,2.815,1.408
86,10,Male,Laptop,Eye Strain,2.04,5.16,16,3.86,0.502,2.815,1.408
87,10,Male,Laptop,None,2.04,5.16,16,3.86,0.502,2.815,1.408
88,10,Male,Laptop,Anxiety,2.04,5.16,16,3.86,0.502,2.815,1.408
89,10,Male,Laptop,Obesity Risk,2.04,5.16,16,3.86,0.502,2.815,1.408
90,10,Male,TV,Poor Sleep,2.02,5.53,76,3.86,0.502,2.815,1.408
91,10,Male,TV,Eye Strain,2.02,5.47,37,3.86,0.502,2.815,1.408
92,10,Male,TV,None,2.02,2.31,78,3.86,0.502,2.815,1.408
93,10,Male,TV,Anxiety,2.02,5.71,30,3.86,0.502,2.815,1.408
94,10,Male,TV,Obesity Risk,2.02,5.61,16,3.86,0.502,2.815,1.408
95,10,Male,Tablet,Poor Sleep,2.0,5.63,36,3.86,0.502,2.815,1.408
96,10,Male,Tablet,Eye Strain,2.0,5.57,17,3.86,0.502,2.815,1.408
97,10,Male,Tablet,None,2.0,2.28,54,3.86,0.502,2.815,1.408
98,10,Male,Tablet,Anxiety,2.0,5.1,10,3.86,0.502,2.815,1.408
99,10,Male,Tablet,Obesity Risk,2.0,4.28,6,3.86,0.502,2.815,1.408
100,10,Female,Smartphone,Poor Sleep,2.05,5.6,63,3.86,0.502,2.815,1.408
101,10,Female,Smartphone,Eye Strain,2.05,5.69,37,3.86,0.502,2.815,1.408
102,10,Female,Smartphone,None,2.05,2.13,78,3.86,0.502,2.815,1.408
103,10,Female,Smartphone,Anxiety,2.05,6.25,26,3.86,0.502,2.815,1.408
104,10,Female,Smartphone,Obesity Risk,2.05,4.4,18,3.86,0.502,2.815,1.408
105,10,Female,Laptop,Poor Sleep,2.05,4.4,18,3.86,0.502,2.815,1.408
106,10,Female,Laptop,Eye Strain,2.05,4.4,18,3.86,0.502,2.815,1.408
107,10,Female,Laptop,None,2.05,4.4,18,3.86,0.502,2.815,1.408
108,10,Female,Laptop,Anxiety,2.05,4.4,18,3.86,0.502,2.815,1.408
109,10,Female,Laptop,Obesity Risk,2.05,4.4,18,3.86,0.502,2.815,1.408
110,10,Female,TV,Poor Sleep,2.02,5.41,61,3.86,0.502,2.815,1.408
111,10,Female,TV,Eye Strain,2.02,5.14,27,3.86,0.502,2.815,1.408
112,10,Female,TV,None,2.02,2.07,101,3.86,0.502,2.815,1.408
113,10,Female,TV,Anxiety,2.02,5.34,17,3.86,0.502,2.815,1.408
114,10,Female,TV,Obesity Risk,2.02,5.11,12,3.86,0.502,2.815,1.408
115,10,Female,Tablet,Poor Sleep,2.03,6.02,28,3.86,0.502,2.815,1.408
116,10,Female,Tablet,Eye Strain,2.03,5.04,8,3.86,0.502,2.815,1.408
117,10,Female,Tablet,None,2.03,2.0,37,3.86,0.502,2.815,1.408
118,10,Female,Tablet,Anxiety,2.03,5.57,10,3.86,0.502,2.815,1.408
119,10,Female,Tablet,Obesity Risk,2.03,5.12,3,3.86,0.502,2.815,1.408
120,11,Male,Smartphone,Poor Sleep,3.0,4.68,116,4.49,0.401,3.27,1.306
121,11,Male,Smartphone,Eye Strain,3.0,4.68,61,4.49,0.401,3.27,1.306
122,11,Male,Smartphone,None,3.0,3.86,51,4.49,0.401,3.27,1.306
123,11,Male,Smartphone,Anxiety,3.0,5.0,33,4.49,0.401,3.27,1.306
124,11,Male,Smartphone,Obesity Risk,3.0,5.03,25,4.49,0.401,3.27,1.306
125,11,Male,Laptop,Poor Sleep,3.08,4.56,50,4.49,0.401,3.27,1.306
126,11,Male,Laptop,Eye Strain,3.08,4.48,24,4.49,0.401,3.27,1.306
127,11,Male,Laptop,None,3.08,3.56,20,4.49,0.401,3.27,1.306
128,11,Male,Laptop,Anxiety,3.08,4.62,16,4.49,0.401,3.27,1.306
129,11,Male,Laptop,Obesity Risk,3.08,4.13,12,4.49,0.401,3.27,1.306
130,11,Male,TV,Poor Sleep,3.01,4.65,47,4.49,0.401,3.27,1.306
131,11,Male,TV,Eye Strain,3.01,4.68,29,4.49,0.401,3.27,1.306
132,11,Male,TV,None,3.01,4.13,22,4.49,0.401,3.27,1.306
133,11,Male,TV,Anxiety,3.01,4.42,12,4.49,0.401,3.27,1.306
134,11,Male,TV,Obesity Risk,3.01,4.38,15,4.49,0.401,3.27,1.306
135,11,Male,Tablet,Poor Sleep,3.06,4.94,21,4.49,0.401,3.27,1.306
136,11,Male,Tablet,Eye Strain,3.06,4.35,13,4.49,0.401,3.27,1.306
137,11,Male,Tablet,None,3.06,3.82,8,4.49,0.401,3.27,1.306
138,11,Male,Tablet,Anxiety,3.06,5.42,7,4.49,0.401,3.27,1.306
139,11,Male,Tablet,Obesity Risk,3.06,5.2,4,4.49,0.401,3.27,1.306
140,11,Female,Smartphone,Poor Sleep,3.01,4.83,103,4.49,0.401,3.27,1.306
141,11,Female,Smartphone,Eye Strain,3.01,4.82,57,4.49,0.401,3.27,1.306
142,11,Female,Smartphone,None,3.01,3.93,60,4.49,0.401,3.27,1.306
143,11,Female,Smartphone,Anxiety,3.01,4.77,28,4.49,0.401,3.27,1.306
144,11,Female,Smartphone,Obesity Risk,3.01,5.18,26,4.49,0.401,3.27,1.306
145,11,Female,Laptop,Poor Sleep,2.96,4.75,55,4.49,0.401,3.27,1.306
146,11,Female,Laptop,Eye Strain,2.96,4.64,34,4.49,0.401,3.27,1.306
147,11,Female,Laptop,None,2.96,3.73,34,4.49,0.401,3.27,1.306
148,11,Female,Laptop,Anxiety,2.96,4.63,20,4.49,0.401,3.27,1.306
149,11,Female,Laptop,Obesity Risk,2.96,4.71,16,4.49,0.401,3.27,1.306
150,11,Female,TV,Poor Sleep,2.98,4.64,49,4.49,0.401,3.27,1.306
151,11,Female,TV,Eye Strain,2.98,4.85,18,4.49,0.401,3.27,1.306
152,11,Female,TV,None,2.98,3.62,16,4.49,0.401,3.27,1.306
153,11,Female,TV,Anxiety,2.98,4.92,18,4.49,0.401,3.27,1.306
154,11,Female,TV,Obesity Risk,2.98,4.42,10,4.49,0.401,3.27,1.306
155,11,Female,Tablet,Poor Sleep,2.98,5.15,24,4.49,0.401,3.27,1.306
156,11,Female,Tablet,Eye Strain,2.98,5.24,11,4.49,0.401,3.27,1.306
157,11,Female,Tablet,None,2.98,3.61,20,4.49,0.401,3.27,1.306
158,11,Female,Tablet,Anxiety,2.98,5.55,7,4.49,0.401,3.27,1.306
159,11,Female,Tablet,Obesity Risk,2.98,5.86,6,4.49,0.401,3.27,1.306
160,12,Male,Smartphone,Poor Sleep,3.06,4.82,116,4.6,0.4,3.303,1.312
161,12,Male,Smartphone,Eye Strain,3.06,4.76,64,4.6,0.4,3.303,1.312
162,12,Male,Smartphone,None,3.06,4.15,54,4.6,0.4,3.303,1.312
163,12,Male,Smartphone,Anxiety,3.06,4.82,41,4.6,0.4,3.303,1.312
164,12,Male,Smartphone,Obesity Risk,3.06,5.0,35,4.6,0.4,3.303,1.312
165,12,Male,Laptop,Poor Sleep,3.0,4.59,55,4.6,0.4,3.303,1.312
166,12,Male,Laptop,Eye Strain,3.0,4.44,26,4.6,0.4,3.303,1.312
167,12,Male,Laptop,None,3.0,4.67,17,4.6,0.4,3.303,1.312
168,12,Male,Laptop,Anxiety,3.0,4.68,16,4.6,0.4,3.303,1.312
169,12,Male,Laptop,Obesity Risk,3.0,4.62,13,4.6,0.4,3.303,1.312
170,12,Male,TV,Poor Sleep,2.98,4.47,43,4.6,0.4,3.303,1.312
171,12,Male,TV,Eye Strain,2.98,4.46,21,4.6,0.4,3.303,1.312
172,12,Male,TV,None,2.98,4.14,27,4.6,0.4,3.303,1.312
173,12,Male,TV,Anxiety,2.98,4.9,12,4.6,0.4,3.303,1.312
174,12,Male,TV,Obesity Risk,2.98,4.44,12,4.6,0.4,3.303,1.312
175,12,Male,Tablet,Poor Sleep,3.08,5.05,21,4.6,0.4,3.303,1.312
176,12,Male,Tablet,Eye Strain,3.08,4.86,10,4.6,0.4,3.303,1.312
177,12,Male,Tablet,None,3.08,3.03,13,4.6,0.4,3.303,1.312
178,12,Male,Tablet,Anxiety,3.08,5.75,5,4.6,0.4,3.303,1.312
179,12,Male,Tablet,Obesity Risk,3.08,4.43,7,4.6,0.4,3.303,1.312
180,12,Female,Smartphone,Poor Sleep,3.0,4.81,125,4.6,0.4,3.303,1.312
181,12,Female,Smartphone,Eye Strain,3.0,4.67,63,4.6,0.4,3.303,1.312
182,12,Female,Smartphone,None,3.0,3.71,56,4.6,0.4,3.303,1.312
183,12,Female,Smartphone,Anxiety,3.0,4.81,47,4.6,0.4,3.303,1.312
184,12,Female,Smartphone,Obesity Risk,3.0,4.67,40,4.6,0.4,3.303,1.312
185,12,Female,Laptop,Poor Sleep,3.0,4.65,52,4.6,0.4,3.303,1.312
186,12,Female,Laptop,Eye Strain,3.0,4.79,29,4.6,0.4,3.303,1.312
187,12,Female,Laptop,None,3.0,3.63,24,4.6,0.4,3.303,1.312
188,12,Female,Laptop,Anxiety,3.0,4.84,20,4.6,0.4,3.303,1.312
189,12,Female,Laptop,Obesity Risk,3.0,4.8,17,4.6,0.4,3.303,1.312
190,12,Female,TV,Poor Sleep,3.0,4.98,49,4.6,0.4,3.303,1.312
191,12,Female,TV,Eye Strain,3.0,5.12,25,4.6,0.4,3.303,1.312
192,12,Female,TV,None,3.0,3.9,19,4.6,0.4,3.303,1.312
193,12,Female,TV,Anxiety,3.0,5.18,6,4.6,0.4,3.303,1.312
194,12,Female,TV,Obesity Risk,3.0,5.29,11,4.6,0.4,3.303,1.312
195,12,Female,Tablet,Poor Sleep,3.0,4.74,23,4.6,0.4,3.303,1.312
196,12,Female,Tablet,Eye Strain,3.0,4.86,10,4.6,0.4,3.303,1.312
197,12,Female,Tablet,None,3.0,3.45,10,4.6,0.4,3.303,1.312
198,12,Female,Tablet,Anxiety,3.0,4.34,10,4.6,0.4,3.303,1.312
199,12,Female,Tablet,Obesity Risk,3.0,5.04,3,4.6,0.4,3.303,1.312
200,13,Male,Smartphone,Poor Sleep,3.02,4.62,123,4.52,0.401,3.272,1.306
201,13,Male,Smartphone,Eye Strain,3.02,4.59,56,4.52,0.401,3.272,1.306
202,13,Male,Smartphone,None,3.02,4.07,63,4.52,0.401,3.272,1.306
203,13,Male,Smartphone,Anxiety,3.02,4.67,44,4.52,0.401,3.272,1.306
204,13,Male,Smartphone,Obesity Risk,3.02,4.58,36,4.52,0.401,3.272,1.306
205,13,Male,Laptop,Poor Sleep,2.99,4.67,48,4.52,0.401,3.272,1.306
206,13,Male,Laptop,Eye Strain,2.99,4.79,24,4.52,0.401,3.272,1.306
207,13,Male,Laptop,None,2.99,3.65,29,4.52,0.401,3.272,1.306
208,13,Male,Laptop,Anxiety,2.99,4.78,15,4.52,0.401,3.272,1.306
209,13,Male,Laptop,Obesity Risk,2.99,4.99,8,4.52,0.401,3.272,1.306
210,13,Male,TV,Poor Sleep,3.0,5.02,51,4.52,0.401,3.272,1.306
211,13,Male,TV,Eye Strain,3.0,4.68,22,4.52,0.401,3.272,1.306
212,13,Male,TV,None,3.0,4.19,21,4.52,0.401,3.272,1.306
213,13,Male,TV,Anxiety,3.0,4.79,21,4.52,0.401,3.272,1.306
214,13,Male,TV,Obesity Risk,3.0,4.73,12,4.52,0.401,3.272,1.306
215,13,Male,Tablet,Poor Sleep,2.88,4.84,25,4.52,0.401,3.272,1.306
216,13,Male,Tablet,Eye Strain,2.88,4.9,11,4.52,0.401,3.272,1.306
217,13,Male,Tablet,None,2.88,3.88,14,4.52,0.401,3.272,1.306
218,13,Male,Tablet,Anxiety,2.88,4.26,10,4.52,0.401,3.272,1.306
219,13,Male,Tablet,Obesity Risk,2.88,4.94,9,4.52,0.401,3.272,1.306
220,13,Female,Smartphone,Poor Sleep,3.01,4.62,130,4.52,0.401,3.272,1.306
221,13,Female,Smartphone,Eye Strain,3.01,4.77,66,4.52,0.401,3.272,1.306
222,13,Female,Smartphone,None,3.01,3.74,55,4.52,0.401,3.272,1.306
223,13,Female,Smartphone,Anxiety,3.01,4.71,40,4.52,0.401,3.272,1.306
224,13,Female,Smartphone,Obesity Risk,3.01,4.84,34,4.52,0.401,3.272,1.306
225,13,Female,Laptop,Poor Sleep,3.04,4.8,46,4.52,0.401,3.272,1.306
226,13,Female,Laptop,Eye Strain,3.04,4.67,23,4.52,0.401,3.272,1.306
227,13,Female,Laptop,None,3.04,3.05,17,4.52,0.401,3.272,1.306
228,13,Female,Laptop,Anxiety,3.04,5.25,11,4.52,0.401,3.272,1.306
229,13,Female,Laptop,Obesity Risk,3.04,5.16,9,4.52,0.401,3.272,1.306
230,13,Female,TV,Poor Sleep,3.0,5.06,53,4.52,0.401,3.272,1.306
231,13,Female,TV,Eye Strain,3.0,4.55,24,4.52,0.401,3.272,1.306
232,13,Female,TV,None,3.0,3.69,27,4.52,0.401,3.272,1.306
233,13,Female,TV,Anxiety,3.0,5.46,15,4.52,0.401,3.272,1.306
234,13,Female,TV,Obesity Risk,3.0,4.64,19,4.52,0.401,3.272,1.306
235,13,Female,Tablet,Poor Sleep,2.96,4.92,23,4.52,0.401,3.272,1.306
236,13,Female,Tablet,Eye Strain,2.96,4.53,15,4.52,0.401,3.272,1.306
237,13,Female,Tablet,None,2.96,4.32,10,4.52,0.401,3.272,1.306
238,13,Female,Tablet,Anxiety,2.96,4.93,8,4.52,0.401,3.272,1.306
239,13,Female,Tablet,Obesity Risk,2.96,4.62,5,4.52,0.401,3.272,1.306
240,14,Male,Smartphone,Poor Sleep,2.94,4.88,140,4.58,0.399,3.28,1.298
241,14,Male,Smartphone,Eye Strain,2.94,5.06,66,4.58,0.399,3.28,1.298
242,14,Male,Smartphone,None,2.94,4.1,60,4.58,0.399,3.28,1.298
243,14,Male,Smartphone,Anxiety,2.94,4.95,43,4.58,0.399,3.28,1.298
244,14,Male,Smartphone,Obesity Risk,2.94,4.79,34,4.58,0.399,3.28,1.298
245,14,Male,Laptop,Poor Sleep,2.95,4.62,53,4.58,0.399,3.28,1.298
246,14,Male,Laptop,Eye Strain,2.95,4.76,22,4.58,0.399,3.28,1.298
247,14,Male,Laptop,None,2.95,3.84,25,4.58,0.399,3.28,1.298
248,14,Male,Laptop,Anxiety,2.95,4.24,22,4.58,0.399,3.28,1.298
249,14,Male,Laptop,Obesity Risk,2.95,4.86,13,4.58,0.399,3.28,1.298
250,14,Male,TV,Poor Sleep,2.96,4.59,54,4.58,0.399,3.28,1.298
251,14,Male,TV,Eye Strain,2.96,4.66,31,4.58,0.399,3.28,1.298
252,14,Male,TV,None,2.96,3.91,20,4.58,0.399,3.28,1.298
253,14,Male,TV,Anxiety,2.96,4.53,17,4.58,0.399,3.28,1.298
254,14,Male,TV,Obesity Risk,2.96,4.47,15,4.58,0.399,3.28,1.298
255,14,Male,Tablet,Poor Sleep,2.94,4.7,19,4.58,0.399,3.28,1.298
256,14,Male,Tablet,Eye Strain,2.94,4.69,11,4.58,0.399,3.28,1.298
257,14,Male,Tablet,None,2.94,3.97,11,4.58,0.399,3.28,1.298
258,14,Male,Tablet,Anxiety,2.94,4.49,7,4.58,0.399,3.28,1.298
259,14,Male,Tablet,Obesity Risk,2.94,4.78,7,4.58,0.399,3.28,1.298
260,14,Female,Smartphone,Poor Sleep,3.0,4.83,113,4.58,0.399,3.28,1.298
261,14,Female,Smartphone,Eye Strain,3.0,4.74,51,4.58,0.399,3.28,1.298
262,14,Female,Smartphone,None,3.0,3.94,62,4.58,0.399,3.28,1.298
263,14,Female,Smartphone,Anxiety,3.0,4.97,39,4.58,0.399,3.28,1.298
264,14,Female,Smartphone,Obesity Risk,3.0,4.62,32,4.58,0.399,3.28,1.298
265,14,Female,Laptop,Poor Sleep,3.08,4.58,47,4.58,0.399,3.28,1.298
266,14,Female,Laptop,Eye Strain,3.08,4.36,26,4.58,0.399,3.28,1.298
267,14,Female,Laptop,None,3.08,3.68,26,4.58,0.399,3.28,1.298
268,14,Female,Laptop,Anxiety,3.08,4.48,17,4.58,0.399,3.28,1.298
269,14,Female,Laptop,Obesity Risk,3.08,4.48,12,4.58,0.399,3.28,1.298
270,14,Female,TV,Poor Sleep,2.96,4.8,47,4.58,0.399,3.28,1.298
271,14,Female,TV,Eye Strain,2.96,4.46,21,4.58,0.399,3.28,1.298
272,14,Female,TV,None,2.96,4.26,19,4.58,0.399,3.28,1.298
273,14,Female,TV,Anxiety,2.96,4.46,20,4.58,0.399,3.28,1.298
274,14,Female,TV,Obesity Risk,2.96,4.72,8,4.58,0.399,3.28,1.298
275,14,Female,Tablet,Poor Sleep,3.05,4.66,26,4.58,0.399,3.28,1.298
276,14,Female,Tablet,Eye Strain,3.05,4.54,7,4.58,0.399,3.28,1.298
277,14,Female,Tablet,None,3.05,3.54,21,4.58,0.399,3.28,1.298
278,14,Female,Tablet,Anxiety,3.05,4.28,9,4.58,0.399,3.28,1.298
279,14,Female,Tablet,Obesity Risk,3.05,4.7,9,4.58,0.399,3.28,1.298
280,15,Male,Smartphone,Poor Sleep,3.0,4.88,114,4.43,0.398,3.238,1.281
281,15,Male,Smartphone,Eye Strain,3.0,4.82,49,4.43,0.398,3.238,1.281
282,15,Male,Smartphone,None,3.0,3.55,52,4.43,0.398,3.238,1.281
283,15,Male,Smartphone,Anxiety,3.0,4.85,34,4.43,0.398,3.238,1.281
284,15,Male,Smartphone,Obesity Risk,3.0,4.61,32,4.43,0.398,3.238,1.281
285,15,Male,Laptop,Poor Sleep,2.91,4.38,33,4.43,0.398,3.238,1.281
286,15,Male,Laptop,Eye Strain,2.91,4.6,22,4.43,0.398,3.238,1.281
287,15,Male,Laptop,None,2.91,4.02,29,4.43,0.398,3.238,1.281
288,15,Male,Laptop,Anxiety,2.91,4.52,13,4.43,0.398,3.238,1.281
289,15,Male,Laptop,Obesity Risk,2.91,4.55,11,4.43,0.398,3.238,1.281
290,15,Male,TV,Poor Sleep,2.66,4.68,45,4.43,0.398,3.238,1.281
291,15,Male,TV,Eye Strain,2.66,5.03,22,4.43,0.398,3.238,1.281
292,15,Male,TV,None,2.66,4.3,22,4.43,0.398,3.238,1.281
293,15,Male,TV,Anxiety,2.66,4.91,21,4.43,0.398,3.238,1.281
294,15,Male,TV,Obesity Risk,2.66,4.62,16,4.43,0.398,3.238,1.281
295,15,Male,Tablet,Poor Sleep,2.98,4.66,19,4.43,0.398,3.238,1.281
296,15,Male,Tablet,Eye Strain,2.98,4.57,10,4.43,0.398,3.238,1.281
297,15,Male,Tablet,None,2.98,4.03,8,4.43,0.398,3.238,1.281
298,15,Male,Tablet,Anxiety,2.98,4.84,12,4.43,0.398,3.238,1.281
299,15,Male,Tablet,Obesity Risk,2.98,4.11,7,4.43,0.398,3.238,1.281
300,15,Female,Smartphone,Poor Sleep,3.02,4.69,112,4.43,0.398,3.238,1.281
301,15,Female,Smartphone,Eye Strain,3.02,4.69,58,4.43,0.398,3.238,1.281
302,15,Female,Smartphone,None,3.02,3.68,63,4.43,0.398,3.238,1.281
303,15,Female,Smartphone,Anxiety,3.02,4.6,35,4.43,0.398,3.238,1.281
304,15,Female,Smartphone,Obesity Risk,3.02,4.9,25,4.43,0.398,3.238,1.281
305,15,Female,Laptop,Poor Sleep,3.0,4.56,59,4.43,0.398,3.238,1.281
306,15,Female,Laptop,Eye Strain,3.0,4.65,26,4.43,0.398,3.238,1.281
307,15,Female,Laptop,None,3.0,3.47,32,4.43,0.398,3.238,1.281
308,15,Female,Laptop,Anxiety,3.0,4.59,19,4.43,0.398,3.238,1.281
309,15,Female,Laptop,Obesity Risk,3.0,4.79,8,4.43,0.398,3.238,1.281
310,15,Female,TV,Poor Sleep,3.03,4.63,50,4.43,0.398,3.238,1.281
311,15,Female,TV,Eye Strain,3.03,4.73,31,4.43,0.398,3.238,1.281
